token_address,underlying_address,decimals,token_name,embers,chain,chain_index
0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1e6,ironUSDC,6,mode,0
0x02CD18c03b5b3f250d2B29C87949CDAB4Ee11488,0xf0F161fDA2712DB8b566946122a5af183995e2eD,1e6,ironUSDT,6,mode,0
0x9c29a8eC901DBec4fFf165cD57D4f9E03D4838f7,0x4200000000000000000000000000000000000006,1e18,ironWETH,10,mode,0
0x272CfCceFbEFBe1518cd87002A8F9dfd8845A6c4,0x2416092f143378750bb29b79eD961ab195CcEea5,1e18,ironezETH,10,mode,0
0x58254000eE8127288387b04ce70292B56098D55C,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,ironweETH,10,mode,0
0xe3f709397e87032E61f4248f53Ee5c9a9aBb6440,0xe7903B1F75C534Dd8159b313d92cDCfbC62cB3Cd,1e18,ironwrsETH,10,mode,0
0xC17312076F48764d6b4D263eFdd5A30833E311DC,0x59889b7021243dB5B1e065385F918316cD90D46c,1e18,ironMBTC,10,mode,0
0x4522DBc3b2cA81809Fa38FEE8C1fb11c78826268,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,ironweETHMode,10,mode,0
0x0F4f2805a6d15dC534d43635314444181A0e82CD,0xDfc7C877a950e49D2610114102175A06C2e3167a,1e18,ironMODE,100,mode,0
0xe5415Fa763489C813694D7A79d133F0A7363310C,0xd988097fb8612cc24eeC14542bC03424c656005f,1e6,vUSDC,10,mode,0
0xBcE07537DF8AD5519C1d65e902e10aA48AF83d88,0xf0F161fDA2712DB8b566946122a5af183995e2eD,1e6,vUSDT,10,mode,0
0x06D38c309d1dC541a23b0025B35d163c25754288,0x4200000000000000000000000000000000000006,1e18,vWETH,20,mode,0
0x5eEA43129024eeE861481f32c2541b12DDD44c08,0x2416092f143378750bb29b79eD961ab195CcEea5,1e18,vezETH,0,mode,0
0x05249f9Ba88F7d98fe21a8f3C460f4746689Aea5,0x028227c4dd1e5419d11Bb6fa6e661920c519D4F5,1e18,vweETH,0,mode,0
